,God Name,Title,Pantheon,Type,Class,Pros,Difficulty,Release Date,Favor,Gems,Voicelines,Voice Actor,Health,Health PL,Mana,Mana PL,Speed,Speed PL,Range,Range PL,Attack Apeed,Attack Speed PL,Basic Attack Damage,Basic Attack Damage PL,Basic Attack Scaling,Basic Attack Progression,Pysical Prot,Pysical Prot PL,Magical Prot,Magical Prot PL,HP5,HP5 PL,MP5,MP5 PL
1,Achilles,Hero of the Trojan War, Greek,"Melee,Physical", Warrior,"High Single Target Damage, High Mobility",Average,"February 27, 2018","5,500 ",200 ,Achilles voicelines,Ricco Fajardo,475,85,205,35,370,0,16,0,0.95,1.25%,38,2, 100% of Physical Power,None,17,3,30,0.9,9,0.75,4.7,0.39
2,Agni,God of Fire, Hindu,"Ranged,Magical", Mage,High Area Damage,Hard,"May 31, 2012","1,250 ",200 ,Agni voicelines,Scott Freeman,360,71,255,45,355,0,55,0,1,1.2%,34,1.5, 20% of Magical Power,None,11,2.6,30,0.9,7,0.47,4.7,0.37
3,Ah_Muzen_Cab,God of Bees, Mayan,"Ranged,Physical", Hunter,"High Movement Speed, High Attack Speed",Average,"November 7, 2013","5,500 ",200 ,Ah Muzen Cab voicelines,Jason Liebrecht,450,73,230,40,365,0,55,0,0.95,1.7%,38,2.2, 100% of Physical Power,None,12,3,30,0.9,7,0.71,4.4,0.38
4,Ah_Puch,Horrific God of Decay, Mayan,"Ranged,Magical", Mage,High Area Damage,Average,"April 28, 2015","5,500 ",200 ,Ah Puch voicelines,Bruce Carey,400,75,265,55,365,0,55,0,0.86,0.95%,35,1.5, 20% of Magical Power,None,9,2.7,30,0.9,6,0.45,4.9,0.42
5,Amaterasu,The Shining Light, Japanese,"Melee,Physical", Warrior,"High Mobility, High Area Damage",Average,"January 12, 2016","5,500 ",200 ,Amaterasu voicelines,Cristina Valenzuela,480,85,220,35,375,0,12,0,1,1.2%,39,2, 100% of Physical Power,1/.5/1 damage and swing time,18,3,30,0.9,8,0.8,4.8,0.4
6,Anhur,Slayer of Enemies, Egyptian,"Ranged,Physical", Hunter,High Single Target Damage,Average,"August 3, 2012","5,500 ",200 ,Anhur voicelines,Christopher Sabat,460,78,220,35,365,0,55,0,0.9,1.7%,40,2.5, 100% of Physical Power,None,11,2.8,30,0.9,8,0.69,4.5,0.32
7,Anubis,God of the Dead, Egyptian,"Ranged,Magical", Mage,High Area Damage,Easy,"May 31, 2012","5,500 ",200 ,Anubis voicelines,R. Bruce Elliott,380,70,280,58,360,0,55,0,0.86,0.99%,35,1.5, 20% of Magical Power,None,10,2.5,30,0.9,7,0.45,4.8,0.36
8,Ao_Kuang,Dragon King of theEastern Seas, Chinese,"Melee,Magical", Mage,High Single Target Damage,Hard,"November 19, 2014","5,500 ",200 ,Ao Kuang voicelines,Kaiji Tang,400,82,240,38,375,0,12,0,1,1.95%,35,2.4, 20% of Magical Power,1/0.5/0.5/1x Damage and Speed,12,3,30,0.9,10,0.7,4.8,0.41
9,Aphrodite,Goddess of Beauty, Greek,"Ranged,Magical", Mage,High Sustain,Hard,"March 13, 2013","5,500 ",200 ,Aphrodite voicelines,Martha Harms,380,68,240,43,355,0,55,0,0.87,0.95%,32,1.45, 20% of Magical Power,None,9,2.7,30,0.9,6,0.45,4.8,0.41
10,Apollo,God of Music, Greek,"Ranged,Physical", Hunter,High Mobility,Easy,"March 28, 2013","5,500 ",200 ,Apollo voicelines,Phil Parsons,450,77,225,40,365,0,55,0,0.95,1.7%,40,2.6, 100% of Physical Power,None,12,2.7,30,0.9,8,0.69,4.6,0.4
11,Arachne,The Weaver, Greek,"Melee,Physical", Assassin,"High Single Target Damage, Great Jungler",Average,"May 31, 2012","5,500 ",200 ,Arachne voicelines,Colleen Clinkenbeard,445,79,210,41,375,0,12,0,1,2%,38,2.2, 100% of Physical Power,.5/1/1x damage and swing time,13,3,30,0.9,9,0.67,4.8,0.46
12,Ares,God of War, Greek,"Melee,Magical", Guardian,"High Crowd Control, High Defense",Easy,"October 4, 2012",(Free) 0 ,(Free) 0 ,Ares voicelines,Jason Douglas,485,90,200,37,365,0,12,0,0.9,1.25%,38,1.55, 20% of Magical Power,1/.75/1/1.25x damage and swing time,20,3,30,0.9,8,0.67,4.6,0.42
13,Artemis,Goddess of the Hunt, Greek,"Ranged,Physical", Hunter,High Single Target Damage,Average,"May 31, 2012",(Free) 0 ,(Free) 0 ,Artemis voicelines,Brina Palencia,450,75,205,34,365,0,55,0,0.95,1.7%,35,2.5, 100% of Physical Power,None,12,3,30,0.9,8,0.68,4.4,0.25
14,Artio,The Bear Goddess, Celtic,"Melee,Magical", Guardian,"High Crowd Control, High Sustain",Average,"August 1, 2017","5,500 ",200 ,Artio voicelines,Hetty Abbott,500,95,210,39,365,0,12,0,1,1.2%,38,1.8, 20% of Magical Power,1x damage and swing time,20,3.2,30,0.9,8,0.9,4.6,0.43
15,Athena,Goddess of Wisdom, Greek,"Melee,Magical", Guardian,"High Crowd Control, High Defense",Easy,"June 5, 2013","5,500 ",200 ,Athena voicelines,Kara Edwards,500,100,190,34,365,0,12,0,1,1.2%,35,1.5, 20% of Magical Power,1/1/2x damage and swing time,20,3.2,30,0.9,8,0.9,4.6,0.42
